# e/g shape veto vs |ieta|, hwPt
# Index is (|ieta|-1)*256*64+shape*256+hwPt
# Veto corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 19 1 </header>

460 1 # ieta=1, shape=1, ET=204
461 1 # ieta=1, shape=1, ET=205
462 1 # ieta=1, shape=1, ET=206
463 1 # ieta=1, shape=1, ET=207
464 1 # ieta=1, shape=1, ET=208
465 1 # ieta=1, shape=1, ET=209
466 1 # ieta=1, shape=1, ET=210
467 1 # ieta=1, shape=1, ET=211
468 1 # ieta=1, shape=1, ET=212
469 1 # ieta=1, shape=1, ET=213
470 1 # ieta=1, shape=1, ET=214
471 1 # ieta=1, shape=1, ET=215
472 1 # ieta=1, shape=1, ET=216
473 1 # ieta=1, shape=1, ET=217
474 1 # ieta=1, shape=1, ET=218
475 1 # ieta=1, shape=1, ET=219
476 1 # ieta=1, shape=1, ET=220
477 1 # ieta=1, shape=1, ET=221
478 1 # ieta=1, shape=1, ET=222
479 1 # ieta=1, shape=1, ET=223
480 1 # ieta=1, shape=1, ET=224
481 1 # ieta=1, shape=1, ET=225
482 1 # ieta=1, shape=1, ET=226
483 1 # ieta=1, shape=1, ET=227
484 1 # ieta=1, shape=1, ET=228
485 1 # ieta=1, shape=1, ET=229
486 1 # ieta=1, shape=1, ET=230
487 1 # ieta=1, shape=1, ET=231
488 1 # ieta=1, shape=1, ET=232
489 1 # ieta=1, shape=1, ET=233
490 1 # ieta=1, shape=1, ET=234
491 1 # ieta=1, shape=1, ET=235
492 1 # ieta=1, shape=1, ET=236
493 1 # ieta=1, shape=1, ET=237
494 1 # ieta=1, shape=1, ET=238
495 1 # ieta=1, shape=1, ET=239
496 1 # ieta=1, shape=1, ET=240
497 1 # ieta=1, shape=1, ET=241
498 1 # ieta=1, shape=1, ET=242
499 1 # ieta=1, shape=1, ET=243
500 1 # ieta=1, shape=1, ET=244
501 1 # ieta=1, shape=1, ET=245
502 1 # ieta=1, shape=1, ET=246
503 1 # ieta=1, shape=1, ET=247
504 1 # ieta=1, shape=1, ET=248
505 1 # ieta=1, shape=1, ET=249
506 1 # ieta=1, shape=1, ET=250
507 1 # ieta=1, shape=1, ET=251
508 1 # ieta=1, shape=1, ET=252
509 1 # ieta=1, shape=1, ET=253
510 1 # ieta=1, shape=1, ET=254
511 1 # ieta=1, shape=1, ET=255
512 1 # ieta=1, shape=2, ET=0
513 1 # ieta=1, shape=2, ET=1
514 1 # ieta=1, shape=2, ET=2
515 1 # ieta=1, shape=2, ET=3
516 1 # ieta=1, shape=2, ET=4
517 1 # ieta=1, shape=2, ET=5
518 1 # ieta=1, shape=2, ET=6
519 1 # ieta=1, shape=2, ET=7
520 1 # ieta=1, shape=2, ET=8
521 1 # ieta=1, shape=2, ET=9
522 1 # ieta=1, shape=2, ET=10
523 1 # ieta=1, shape=2, ET=11
524 1 # ieta=1, shape=2, ET=12
525 1 # ieta=1, shape=2, ET=13
526 1 # ieta=1, shape=2, ET=14
527 1 # ieta=1, shape=2, ET=15
528 1 # ieta=1, shape=2, ET=16
529 1 # ieta=1, shape=2, ET=17
530 1 # ieta=1, shape=2, ET=18
531 1 # ieta=1, shape=2, ET=19
532 1 # ieta=1, shape=2, ET=20
533 1 # ieta=1, shape=2, ET=21
534 1 # ieta=1, shape=2, ET=22
535 1 # ieta=1, shape=2, ET=23
536 1 # ieta=1, shape=2, ET=24
537 1 # ieta=1, shape=2, ET=25
538 1 # ieta=1, shape=2, ET=26
539 1 # ieta=1, shape=2, ET=27
540 1 # ieta=1, shape=2, ET=28
541 1 # ieta=1, shape=2, ET=29
542 1 # ieta=1, shape=2, ET=30
